inputfile,time,round_trip_time,packet_loss,voltage,rio_cpu,robot_disabled,robot_auto,robot_tele,ds_disabled,ds_auto,ds_tele,watchdog,brownout,can_usage,wifi_db,bandwidth,pdp_id,pdp_0,pdp_1,pdp_2,pdp_3,pdp_4,pdp_5,pdp_6,pdp_7,pdp_8,pdp_9,pdp_10,pdp_11,pdp_12,pdp_13,pdp_14,pdp_15,pdp_total_current
../2019_03_14 20_08_26 Thu.dslog,1120.0,4.5,0.0,12.40234375,0.915,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1140.0,4.5,0.0,12.40625,0.915,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1160.0,4.5,0.0,12.40625,0.915,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1180.0,4.5,0.0,12.40234375,0.915,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1200.0,4.5,0.0,12.41796875,0.4,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1220.0,4.5,0.0,12.40234375,0.4,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1240.0,4.5,0.0,12.39453125,0.4,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1260.0,4.5,0.0,12.40234375,0.4,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1280.0,4.5,0.0,12.40625,0.4,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 20_08_26 Thu.dslog,1300.0,4.5,0.0,12.42578125,0.4,True,False,False,True,False,False,False,False,0.4,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
